00000000,Juan José,García Pascual,12345679S,12/03/1997,Calle Naranjo 5,11222,Benalmádena,911111111,email.por@defecto.com,Mercé,activo
00000001,Antonio,Rodríguez,12345678Z,07/07/2000,Calle Simón Boli-Bar 12,13900,Huesca,987987876,email.por@defecto.com,Paco,activo
00000002,Joán,Paón García,12345679S,15/12/1998,DEF_DOMICILIO,46500,Paterna,900000000,email.por@defecto.com,asdasdsa,activo
00000004,Paco,Mer,12345679S,12/9/2002,Calle la Paz 43 2,01000,Paterna,123123123,pacomerlos@punto.com,Joan,activo
00000005,Javier,Rodrigo,00000000T,13/3/1996,DEF_DOMICILIO,01000,,900000000,email.por@defecto.com,,en_tramite
00000006,María,Sarmiento,12345678Z,20/06/2001,Sin Domí Test 3 4,51400,San António,098098098,joan@pa.on,Jonás,activo
00000007,Kelvin,,00000000T,18/06/2000,Calle Larga 4,01111,,987345123,joan@pa.on,,en_tramite
00000008,Juan José,García Romero,12345678Z,31/10/2000,Calle Sin Número 4,01000,Sagunto,999999999,notengo@email.com,Mercé,activo
00000009,Barlo,Tolomé Cabrera,12345678Z,01/11/2000,Calle Lápiz Amarillo 7 3,12345,Cullera Playa,123123123,notengo@email.com,Joan,activo
00000010,Pascual,García,12345678Z,12/12/1998,Calle Marrón 4,12345,Paterna,345345345,email.por@defecto.com,Joan,activo
